dna_gaussian_cost,0.002980923105543481,0.00611983956419861,0.012535764535423365,0.034724147401004976,0.06334243955821706,0.19376207770011367
dna_gaussian_froError,0.011814327618579108,0.011418961548414265,0.012467108548254143,0.008052314026974292,0.009801837487815582,0.013792047848077452
dna_matern_cost,0.0029950414422433803,0.006124105839943515,0.012571815946698237,0.034789078619936444,0.0628475395363291,0.19427875976143402
dna_matern_froError,0.007853880964819957,0.012411201698245751,0.0109957202537864,0.010400358556907942,0.009527987194024062,0.01151243850885563
dna_exponential_cost,0.0029608695373404756,0.006123733439389636,0.012581631752243269,0.034874151690862935,0.06319464330538195,0.19485792564665932
dna_exponential_froError,0.16920128062442533,0.06490879683340578,0.02862219617427615,0.017557119416919148,0.019588818710716605,0.017962205029513637
aCE_gaussian_cost,0.0001356516349181797,0.00029760148861455164,0.0010222554811675345,0.006316502600969295,0.03130954676942716,0.09712459960660134
aCE_gaussian_froError,nan,0.026903442551286915,0.01637669919101484,0.012777204110584573,0.011120566835359757,0.008393582110942608
aCE_matern_cost,0.00013278889458447185,0.00029918088955765287,0.0010315249827425443,0.006304916812565712,0.03111707070117427,0.08290507512440586
aCE_matern_froError,0.05220715585343591,0.0263897003985565,0.011468911327758954,0.013885500439034726,0.008297540784724295,0.008906330944072083
aCE_exponential_cost,0.00013312341652624106,0.00029937318106811956,0.0010230962474928596,0.006005126983140647,0.030194115876208717,0.09376892827804226
aCE_exponential_froError,0.038754838607993,0.027888099818957082,0.022507135114828394,0.017764965567347468,0.01745213129290972,0.01664518815332409
