meshWidth,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,0.001953125
dna_gaussian,0.0014515436350309762,0.0029592750048264894,0.006355923520034422,0.01323473568614571,0.03419895010718028,0.06260674151325948,0.2007750766137091
dna_matern,0.0015448444583336834,0.0029220276896667185,0.0060749564262165155,0.013078301932010811,0.036224614171119086,0.06263655917931465,0.19802322157557922
dna_exponential,0.0014796798767230954,0.0029094110318634227,0.0062387302703631525,0.012425930689740908,0.03627271121994714,0.06255270960929338,0.19612873825252145
ce_gaussian,8.237352144793121e-05,0.00013179286469704326,inf,inf,inf,inf,inf
ce_matern,7.922623887736016e-05,0.0001323256794924805,0.00029908756746291554,0.0010398555266446319,0.007203421597263953,inf,inf
ce_exponential,7.793039749915464e-05,0.0001482291274825239,0.00033009058631289147,0.0010158494182752522,0.0049198413841556555,0.028585972678775357,0.40897276189386794
aCE_gaussian,8.104591410838715e-05,0.00013180073732344162,0.0003306811890306226,0.001130959552970363,0.005612242909948447,0.027287467741136183,0.09748680500192662
aCE_matern,7.935029609892365e-05,0.00013162478020939356,0.00029836545703283034,0.0010154825701352303,0.005404601881130563,0.029300537713613878,0.08761436209116544
aCE_exponential,8.093164736673566e-05,0.00013958583483566,0.0003056235476126428,0.001012645252333376,0.004951069854052832,0.031179322169633414,0.0987648345601945
