meshWidth,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,0.001953125
dna_gaussian,0.0027294082999999958,0.010024,0.039976000000000005,0.16132,0.649768,2.0935519999999994,8.380995999999998
dna_matern,0.002728014399999992,0.010024,0.039976000000000005,0.16132,0.649768,2.0935519999999994,8.380995999999998
dna_exponential,0.0027280000000000004,0.010024,0.039976000000000005,0.16132,0.649768,2.0935519999999994,8.380995999999998
ce_gaussian,0.022020176300000006,0.075268,inf,inf,inf,inf,inf
ce_matern,0.022020000000000005,0.075268,0.280068,0.811916,4.613544,inf,inf
ce_exponential,0.022020000000000005,0.075268,0.280068,0.811916,3.195816,12.682152,201.720744
aCE_gaussian,0.022020000000000005,0.075268,0.280068,0.811916,3.195816,12.682152,50.52919200000001
aCE_matern,0.022020000000000005,0.075268,0.280068,0.811916,3.195816,12.682152,50.52919200000001
aCE_exponential,0.022020000000000005,0.075268,0.280068,0.811916,3.195816,12.682152,50.52919200000001
